Ticker,Cambio(%) 1_dia,Fecha
EOG,1,23-dic-20
EQIX,-1,23-dic-20
EQR,-1,23-dic-20
ES,-1,23-dic-20
ESS,-1,23-dic-20
ETN,1,23-dic-20
ETR,-1,23-dic-20
ETSY,-1,23-dic-20
EVRG,1,23-dic-20
EW,1,23-dic-20
EXC,-1,23-dic-20
EXPD,-1,23-dic-20
EXPE,1,23-dic-20
EXR,-1,23-dic-20
F,1,23-dic-20
FANG,1,23-dic-20
FAST,-1,23-dic-20
FB,1,23-dic-20
FBHS,-1,23-dic-20
FCX,1,23-dic-20
FDX,-1,23-dic-20
FE,-1,23-dic-20
FFIV,1,23-dic-20
FIS,-1,23-dic-20
FISV,1,23-dic-20
FITB,1,23-dic-20
FLIR,1,23-dic-20
FLS,1,23-dic-20
FLT,1,23-dic-20
FMC,1,23-dic-20
FOX,1,23-dic-20
FOXA,1,23-dic-20
FRC,1,23-dic-20
FRT,1,23-dic-20
FTI,1,23-dic-20
FTNT,-1,23-dic-20
FTV,1,23-dic-20
GD,1,23-dic-20
GE,1,23-dic-20
GILD,1,23-dic-20
GIS,1,23-dic-20
GL,1,23-dic-20
GLW,1,23-dic-20
GM,1,23-dic-20
GOOG,1,23-dic-20
GOOGL,1,23-dic-20
GPC,1,23-dic-20
GPN,1,23-dic-20
GPS,1,23-dic-20
GRMN,1,23-dic-20
GS,1,23-dic-20
GWW,1,23-dic-20
HAL,1,23-dic-20
HAS,1,23-dic-20
HBAN,1,23-dic-20
HBI,1,23-dic-20
HCA,1,23-dic-20
HD,-1,23-dic-20
HES,1,23-dic-20
HFC,1,23-dic-20
HIG,1,23-dic-20
HII,1,23-dic-20
HLT,1,23-dic-20
HOLX,1,23-dic-20
HON,1,23-dic-20
HPE,1,23-dic-20
HPQ,1,23-dic-20
HRL,1,23-dic-20
HSIC,1,23-dic-20
HST,1,23-dic-20
HSY,1,23-dic-20
HUM,1,23-dic-20
HWM,1,23-dic-20
IBM,1,23-dic-20
ICE,-1,23-dic-20
IDXX,-1,23-dic-20
IEX,-1,23-dic-20
IFF,-1,23-dic-20
ILMN,-1,23-dic-20
INCY,-1,23-dic-20
INFO,-1,23-dic-20
INTC,1,23-dic-20
INTU,-1,23-dic-20
IP,1,23-dic-20
IPG,1,23-dic-20
IPGP,1,23-dic-20
IQV,-1,23-dic-20
IR,1,23-dic-20
IRM,-1,23-dic-20
ISRG,-1,23-dic-20
IT,1,23-dic-20
ITW,-1,23-dic-20
IVZ,1,23-dic-20
J,1,23-dic-20
JBHT,-1,23-dic-20
JCI,1,23-dic-20
JKHY,1,23-dic-20
JNJ,-1,23-dic-20
JNPR,-1,23-dic-20
JPM,1,23-dic-20
K,1,23-dic-20
KEY,1,23-dic-20
KEYS,1,23-dic-20
KHC,1,23-dic-20
KIM,0,23-dic-20
KLAC,-1,23-dic-20
KMB,1,23-dic-20
KMI,1,23-dic-20
KMX,1,23-dic-20
KO,1,23-dic-20
KR,1,23-dic-20
KSU,1,23-dic-20
L,1,23-dic-20
LB,1,23-dic-20
LDOS,1,23-dic-20
LEG,1,23-dic-20
LEN,-1,23-dic-20
LH,1,23-dic-20
LHX,1,23-dic-20
LIN,1,23-dic-20
LKQ,1,23-dic-20
LLY,-1,23-dic-20
LMT,1,23-dic-20
LNC,1,23-dic-20
LNT,-1,23-dic-20
LOW,-1,23-dic-20
LRCX,-1,23-dic-20
LUMN,1,23-dic-20
LUV,1,23-dic-20
LVS,1,23-dic-20
LW,1,23-dic-20
LYB,1,23-dic-20
LYV,-1,23-dic-20
MA,-1,23-dic-20
MAA,-1,23-dic-20
MAR,1,23-dic-20
MAS,-1,23-dic-20
MCD,1,23-dic-20
MCHP,-1,23-dic-20
MCK,1,23-dic-20
MCO,-1,23-dic-20
MDLZ,1,23-dic-20
MDT,-1,23-dic-20
